rank,index,tier,score,hair_style,hair,eyes,suit,shirt,skin,image,seed
799,24,Common,87.7221,Long,White,Periwinkle,Black,Sky,Medium,0024.png,20450981
800,993,Common,87.707,Classic Cut,Pink,Amethyst,Steel Grey,Sage,Porcelain,0993.png,28124492
801,130,Common,87.7,Spiky,Sky Blue,Bubblegum,Moss,Ivory,Tan,0130.png,21290395
802,1103,Common,87.6648,Fringe / Bangs,Purple,Lime,Brown,Ice Blue,Porcelain,1103.png,28995582
803,514,Common,87.6619,Spiky,Sandy,Gold,Gold,Butter,Deep Brown,0514.png,24331291
804,351,Common,87.6326,Spiky,Blond,Lime,Slate Grey,Mint,Olive,0351.png,23040494
805,608,Common,87.6322,Long,Blond,Turquoise,Light Grey,Blush,Olive,0608.png,25075677
806,723,Common,87.6283,Spiky,Pine Green,Turquoise,Black,Rose,Fair,0723.png,25986362
807,40,Common,87.6198,Side Part,Teal,Royal Blue,Teal,Sky,Porcelain,0040.png,20577685
808,223,Common,87.6117,Side Part,Pink,Ice Blue,Teal,Sage,Medium,0223.png,22026862
809,497,Common,87.5686,Buzz Cut,Orange,Emerald,Cocoa,Rose,Olive,0497.png,24196668
810,869,Common,87.543,Long,Sandy,Gold,Teal,Butter,Fair,0869.png,27142536
811,1005,Common,87.5185,Side Part,Violet,Aqua,Plum,Ivory,Fair,1005.png,28219520
812,948,Common,87.5129,Side Part,Sky Blue,X Black,Cocoa,Pale Blue,Medium,0948.png,27768137
813,76,Common,87.5081,Spiky,Pink,Turquoise,Navy,Butter,Deep Brown,0076.png,20862769
814,570,Common,87.4911,Long,Red,Turquoise,Steel Grey,Sage,Deep Brown,0570.png,24774755
815,881,Common,87.4708,Classic Cut,Coral,Periwinkle,Steel Grey,Ice Blue,Olive,0881.png,27237564
816,724,Common,87.4411,Buzz Cut,Teal,Lime,Maroon,Lavender,Tan,0724.png,25994281
817,573,Common,87.4297,Side Part,Green,Ice Blue,Bronze,Sage,Brown,0573.png,24798512
818,923,Common,87.4268,Spiky,Yellow,Royal Blue,Gold,Rose,Medium,0923.png,27570162
819,316,Common,87.4136,Fringe / Bangs,Blond,Royal Blue,Espresso,Off White,Olive,0316.png,22763329
820,66,Common,87.4097,Fringe / Bangs,Teal,Raspberry,Plum,Blush,Tan,0066.png,20783579
821,605,Common,87.4036,Classic Cut,Auburn,Cyan,Midnight Navy,Ivory,Fair,0605.png,25051920
822,787,Common,87.4003,Fringe / Bangs,Teal,Royal Blue,Moss,White,Brown,0787.png,26493178
823,257,Common,87.3954,Buzz Cut,Teal,Turquoise,Light Grey,Blush,Medium,0257.png,22296108
824,921,Common,87.3917,Buzz Cut,Violet,Gold,Forest Green,Mint,Deep Brown,0921.png,27554324
825,746,Common,87.3528,Buzz Cut,Auburn,Periwinkle,Midnight Navy,Sage,Tan,0746.png,26168499
826,587,Common,87.3459,Long,Sandy,Periwinkle,Steel Grey,Sand,Porcelain,0587.png,24909378
827,822,Common,87.3407,Side Part,Magenta,Lime,Light Grey,Sand,Fair,0822.png,26770343
828,1038,Common,87.3247,Buzz Cut,Yellow,Hot Pink,Gold,Lavender,Light,1038.png,28480847
829,827,Common,87.3202,Classic Cut,Purple,Hot Pink,Navy,Sky,Light,0827.png,26809938
830,485,Common,87.3053,Classic Cut,Teal,Bubblegum,Cocoa,Sky,Olive,0485.png,24101640
831,473,Common,87.2972,Classic Cut,Chestnut,Hot Pink,Gold,Lavender,Fair,0473.png,24006612
832,116,Common,87.2875,Classic Cut,Violet,Turquoise,Espresso,Sand,Tan,0116.png,21179529
833,849,Common,87.2874,Long,Red,Tangerine,Cocoa,White,Tan,0849.png,26984156
834,56,Common,87.2743,Buzz Cut,Sandy,Hot Pink,Slate Grey,White,Porcelain,0056.png,20704389
835,963,Common,87.2596,Fringe / Bangs,Green,Cyan,Bronze,Rose,Deep Brown,0963.png,27886922
836,39,Common,87.2591,Long,Violet,Bubblegum,Black,White,Brown,0039.png,20569766
837,398,Common,87.2527,Side Part,Sandy,Emerald,Steel Grey,Off White,Brown,0398.png,23412687
838,408,Common,87.2452,Buzz Cut,Yellow,Turquoise,Forest Green,Blush,Porcelain,0408.png,23491877
839,876,Common,87.2169,Side Part,Sandy,Amethyst,Steel Grey,Blush,Porcelain,0876.png,27197969
840,944,Common,87.2162,Buzz Cut,Green,Cyan,Navy,Sky,Medium,0944.png,27736461
841,90,Common,87.2052,Long,Purple,Hot Pink,Deep Purple,Blush,Light,0090.png,20973635
842,917,Common,87.1693,Spiky,White,Amethyst,Cocoa,White,Porcelain,0917.png,27522648
843,888,Common,87.1578,Classic Cut,Pink,Periwinkle,Steel Grey,Lavender,Fair,0888.png,27292997
844,767,Common,87.1424,Spiky,Magenta,Lime,Forest Green,Butter,Light,0767.png,26334798
845,850,Common,87.1372,Fringe / Bangs,Auburn,Turquoise,Brown,Sage,Porcelain,0850.png,26992075
846,241,Common,87.1359,Fringe / Bangs,Yellow,Raspberry,Teal,Sage,Deep Brown,0241.png,22169404
847,1019,Common,87.1238,Long,Sky Blue,Crimson,Cocoa,Off White,Porcelain,1019.png,28330386
848,2,Common,87.1168,Fringe / Bangs,Sky Blue,X Black,Light Grey,Sage,Medium,0002.png,20276763
849,600,Common,87.1016,Classic Cut,Yellow,Hot Pink,Plum,Ice Blue,Light,0600.png,25012325
850,186,Common,87.0963,Side Part,Pink,Ice Blue,Deep Purple,Mint,Tan,0186.png,21733859
851,297,Common,87.0819,Long,Coral,X Blue,Bronze,Sand,Fair,0297.png,22612868
852,900,Common,87.0158,Spiky,Red,Gold,Navy,Mint,Deep Brown,0900.png,27388025
853,879,Common,87.0078,Classic Cut,Coral,X Blue,Forest Green,Off White,Olive,0879.png,27221726
854,654,Common,87.0034,Buzz Cut,Chestnut,X Blue,Moss,Sky,Medium,0654.png,25439951
855,1048,Common,86.9703,Buzz Cut,Pine Green,Emerald,Denim Blue,White,Olive,1048.png,28560037
856,960,Common,86.9623,Classic Cut,Pine Green,Royal Blue,Black,Pale Blue,Light,0960.png,27863165
857,844,Common,86.96,Fringe / Bangs,Violet,Cyan,Navy,Pale Blue,Light,0844.png,26944561
858,1003,Common,86.9507,Fringe / Bangs,Auburn,Cyan,Light Grey,Cream,Light,1003.png,28203682
859,469,Common,86.9444,Spiky,Pink,Gold,Espresso,Mint,Tan,0469.png,23974936
860,414,Common,86.9305,Fringe / Bangs,Pine Green,X Blue,Light Grey,Ice Blue,Tan,0414.png,23539391
861,419,Common,86.9282,Long,Sky Blue,Periwinkle,Plum,Cream,Porcelain,0419.png,23578986
862,862,Common,86.923,Classic Cut,Teal,Periwinkle,Denim Blue,Lavender,Medium,0862.png,27087103
863,318,Common,86.9119,Classic Cut,Red,Hot Pink,Brown,Blush,Brown,0318.png,22779167
864,37,Common,86.8962,Side Part,Sky Blue,Bubblegum,Denim Blue,Blush,Light,0037.png,20553928
865,313,Common,86.8916,Classic Cut,Violet,Ice Blue,Plum,Lavender,Deep Brown,0313.png,22739572
866,966,Common,86.8911,Fringe / Bangs,Sandy,Royal Blue,Navy,Peach,Deep Brown,0966.png,27910679
867,529,Common,86.8786,Side Part,Violet,Emerald,Teal,White,Brown,0529.png,24450076
868,148,Common,86.857,Long,Sky Blue,Emerald,Teal,Rose,Brown,0148.png,21432937
869,1098,Common,86.8318,Buzz Cut,Coral,Amethyst,Steel Grey,Ivory,Tan,1098.png,28955987
870,1093,Common,86.8221,Classic Cut,Orange,Cyan,Denim Blue,Off White,Tan,1093.png,28916392
871,98,Common,86.8151,Buzz Cut,Pink,Raspberry,Denim Blue,Ice Blue,Tan,0098.png,21036987
872,440,Common,86.7915,Side Part,Yellow,Hot Pink,Black,Sand,Medium,0440.png,23745285
873,768,Common,86.7837,Long,Chestnut,Emerald,Navy,Lavender,Olive,0768.png,26342717
874,454,Common,86.7628,Buzz Cut,Pine Green,Aqua,Cocoa,Sand,Medium,0454.png,23856151
875,1015,Common,86.7323,Side Part,Pine Green,Ice Blue,Bronze,Rose,Deep Brown,1015.png,28298710
876,309,Common,86.7272,Buzz Cut,Green,Gold,Black,Sage,Medium,0309.png,22707896
877,484,Common,86.7236,Classic Cut,Chestnut,Emerald,Navy,Mint,Medium,0484.png,24093721
878,551,Common,86.6675,Buzz Cut,Green,Royal Blue,Light Grey,Sage,Brown,0551.png,24624294
879,607,Common,86.6646,Classic Cut,Violet,Amethyst,Light Grey,Lavender,Deep Brown,0607.png,25067758
880,708,Common,86.6644,Side Part,Purple,Lime,Plum,Sand,Tan,0708.png,25867577
881,368,Common,86.6515,Classic Cut,Sandy,Ice Blue,Gold,Sky,Deep Brown,0368.png,23175117
882,709,Common,86.6341,Spiky,Sandy,X Blue,Teal,White,Olive,0709.png,25875496
883,765,Common,86.6282,Classic Cut,Auburn,X Blue,Black,Cream,Porcelain,0765.png,26318960
884,997,Common,86.6201,Classic Cut,Blond,Amethyst,Bronze,White,Tan,0997.png,28156168
885,387,Common,86.5947,Spiky,Red,Hot Pink,Steel Grey,Blush,Deep Brown,0387.png,23325578
886,415,Common,86.5907,Buzz Cut,Sandy,Periwinkle,Steel Grey,Mint,Brown,0415.png,23547310
887,899,Common,86.5855,Classic Cut,Yellow,Aqua,Navy,Sage,Porcelain,0899.png,27380106
888,342,Common,86.528,Fringe / Bangs,Coral,Raspberry,Deep Purple,White,Fair,0342.png,22969223
889,117,Common,86.5263,Buzz Cut,Pine Green,Cyan,Light Grey,Lavender,Fair,0117.png,21187448
890,65,Common,86.5145,Fringe / Bangs,Auburn,Amethyst,Steel Grey,Ivory,Brown,0065.png,20775660
891,96,Common,86.5115,Classic Cut,Green,Gold,Bronze,Lavender,Tan,0096.png,21021149
892,941,Common,86.4859,Fringe / Bangs,Pine Green,Raspberry,Cocoa,Cream,Fair,0941.png,27712704
893,535,Common,86.4763,Fringe / Bangs,Blond,Periwinkle,Cocoa,Pale Blue,Porcelain,0535.png,24497590
894,910,Common,86.4356,Classic Cut,Auburn,Amethyst,Plum,Sage,Brown,0910.png,27467215
895,430,Common,86.4329,Fringe / Bangs,Yellow,Turquoise,Plum,White,Tan,0430.png,23666095
896,637,Common,86.4045,Long,Pink,Cyan,Moss,Lavender,Light,0637.png,25305328
897,916,Common,86.3853,Long,Sky Blue,Amethyst,Gold,Sky,Deep Brown,0916.png,27514729
898,464,Common,86.3536,Classic Cut,Red,Ice Blue,Deep Purple,Sky,Porcelain,0464.png,23935341
899,453,Common,86.3534,Side Part,Violet,Periwinkle,Moss,Ice Blue,Light,0453.png,23848232
900,982,Common,86.3301,Classic Cut,Sky Blue,Gold,Brown,Butter,Porcelain,0982.png,28037383
901,619,Common,86.3189,Classic Cut,Sky Blue,Emerald,Teal,Mint,Light,0619.png,25162786
902,41,Common,86.2936,Classic Cut,Pink,Raspberry,Light Grey,Ice Blue,Tan,0041.png,20585604
903,92,Common,86.2777,Classic Cut,Charcoal,Lime,Bronze,Pale Blue,Porcelain,0092.png,20989473
904,830,Common,86.2677,Long,Auburn,Periwinkle,Teal,Ice Blue,Deep Brown,0830.png,26833695
905,160,Common,86.2655,Fringe / Bangs,White,Periwinkle,Bronze,Ivory,Porcelain,0160.png,21527965
906,964,Common,86.2511,Buzz Cut,Violet,Cyan,Steel Grey,Ice Blue,Light,0964.png,27894841
907,676,Common,86.2498,Fringe / Bangs,Teal,Royal Blue,Espresso,Blush,Deep Brown,0676.png,25614169
908,1079,Common,86.2365,Spiky,Pine Green,Hot Pink,Teal,Off White,Tan,1079.png,28805526
909,834,Common,86.1985,Fringe / Bangs,Pine Green,X Blue,Plum,Blush,Light,0834.png,26865371
910,657,Common,86.1386,Spiky,Pine Green,Lime,Steel Grey,Peach,Brown,0657.png,25463708
911,424,Common,86.0986,Long,Sky Blue,Hot Pink,Espresso,Sand,Medium,0424.png,23618581
912,527,Common,86.0699,Fringe / Bangs,Red,Gold,Espresso,Off White,Light,0527.png,24434238
913,988,Common,86.0537,Buzz Cut,Pine Green,Bubblegum,Cocoa,Sky,Porcelain,0988.png,28084897
914,455,Common,86.0251,Long,Charcoal,Lime,Plum,Lavender,Brown,0455.png,23864070
915,567,Common,86.0173,Buzz Cut,Chestnut,Periwinkle,Denim Blue,Ice Blue,Olive,0567.png,24750998
916,1034,Common,85.9559,Buzz Cut,Sky Blue,Raspberry,Light Grey,Ice Blue,Fair,1034.png,28449171
917,49,Common,85.9042,Spiky,Sky Blue,Cyan,Slate Grey,Sky,Porcelain,0049.png,20648956
918,668,Common,85.8811,Spiky,Pink,Gold,Light Grey,White,Fair,0668.png,25550817
919,702,Common,85.8779,Buzz Cut,Coral,Turquoise,Navy,Sky,Porcelain,0702.png,25820063
920,388,Common,85.8584,Spiky,Pink,Ice Blue,Black,Mint,Tan,0388.png,23333497
921,924,Common,85.8472,Buzz Cut,Chestnut,X Blue,Deep Purple,Sky,Olive,0924.png,27578081
922,162,Common,85.8413,Classic Cut,Sandy,Turquoise,Denim Blue,Butter,Light,0162.png,21543803
923,641,Common,85.8381,Fringe / Bangs,Coral,X Blue,Espresso,Sky,Tan,0641.png,25337004
924,801,Common,85.8359,Classic Cut,Sky Blue,Raspberry,Brown,Off White,Olive,0801.png,26604044
925,386,Common,85.8225,Side Part,White,Lime,Gold,Blush,Olive,0386.png,23317659
926,973,Common,85.8092,Long,Chestnut,Periwinkle,Black,Sand,Fair,0973.png,27966112
927,1020,Common,85.8082,Spiky,Pink,Raspberry,Light Grey,Sage,Deep Brown,1020.png,28338305
928,623,Common,85.7977,Spiky,Blond,Cyan,Black,White,Medium,0623.png,25194462
929,776,Common,85.7821,Side Part,Auburn,X Blue,Navy,Ice Blue,Porcelain,0776.png,26406069
930,225,Common,85.774,Long,Red,Gold,Black,Rose,Olive,0225.png,22042700
931,45,Common,85.7394,Spiky,Sandy,Cyan,Forest Green,White,Medium,0045.png,20617280
932,209,Common,85.7171,Side Part,Coral,Royal Blue,Deep Purple,Mint,Porcelain,0209.png,21915996
933,752,Common,85.7018,Long,Sky Blue,Cyan,Navy,Pale Blue,Porcelain,0752.png,26216013
934,530,Common,85.6927,Classic Cut,Magenta,Lime,Plum,Butter,Light,0530.png,24457995
935,550,Common,85.6642,Side Part,Sandy,Ice Blue,Deep Purple,Sage,Olive,0550.png,24616375
936,495,Common,85.6502,Classic Cut,Sandy,Gold,Navy,Ice Blue,Olive,0495.png,24180830
937,133,Common,85.5885,Classic Cut,Green,Lime,Slate Grey,Sage,Medium,0133.png,21314152
938,839,Common,85.5737,Fringe / Bangs,Coral,Amethyst,Black,White,Light,0839.png,26904966
939,845,Common,85.5734,Buzz Cut,Coral,Hot Pink,Teal,White,Tan,0845.png,26952480
940,1014,Common,85.5683,Spiky,Orange,Periwinkle,Cocoa,Rose,Brown,1014.png,28290791
941,30,Common,85.5656,Classic Cut,Red,Periwinkle,Deep Purple,Lavender,Porcelain,0030.png,20498495
942,536,Common,85.5541,Classic Cut,Auburn,Amethyst,Black,Butter,Porcelain,0536.png,24505509
943,618,Common,85.5482,Long,Sandy,Gold,Plum,Sky,Deep Brown,0618.png,25154867
944,50,Common,85.5474,Classic Cut,Red,Emerald,Light Grey,Blush,Porcelain,0050.png,20656875
945,20,Common,85.5417,Buzz Cut,Teal,Raspberry,Black,Blush,Light,0020.png,20419305
946,101,Common,85.5384,Buzz Cut,Red,X Blue,Denim Blue,Blush,Olive,0101.png,21060744
947,509,Common,85.526,Long,Pine Green,Cyan,Moss,Off White,Light,0509.png,24291696
948,420,Common,85.5118,Side Part,Chestnut,Emerald,Black,Sky,Olive,0420.png,23586905
949,123,Common,85.4859,Spiky,Violet,Gold,Light Grey,Mint,Porcelain,0123.png,21234962
950,250,Common,85.4695,Classic Cut,Green,X Blue,Bronze,Ivory,Medium,0250.png,22240675
951,23,Common,85.4606,Fringe / Bangs,Orange,Lime,Deep Purple,Lavender,Deep Brown,0023.png,20443062
952,889,Common,85.4375,Long,Yellow,Turquoise,Denim Blue,White,Porcelain,0889.png,27300916
953,298,Common,85.4323,Buzz Cut,Blue,Lime,Black,Blush,Tan,0298.png,22620787
954,465,Common,85.3898,Fringe / Bangs,Yellow,Royal Blue,Moss,Off White,Porcelain,0465.png,23943260
955,5,Common,85.363,Side Part,Blond,Lime,Slate Grey,Ivory,Fair,0005.png,20300520
956,270,Common,85.3627,Spiky,Orange,Cyan,Cocoa,Lavender,Deep Brown,0270.png,22399055
957,380,Common,85.3551,Classic Cut,Chestnut,Hot Pink,Forest Green,Blush,Brown,0380.png,23270145
958,757,Common,85.2962,Side Part,Pink,Emerald,Light Grey,Ivory,Porcelain,0757.png,26255608
959,650,Common,85.2932,Fringe / Bangs,Sky Blue,Amethyst,Light Grey,Lavender,Tan,0650.png,25408275
960,812,Common,85.2755,Side Part,Coral,Raspberry,Plum,Ivory,Tan,0812.png,26691153
961,651,Common,85.2669,Side Part,Auburn,Raspberry,Black,Mint,Olive,0651.png,25416194
962,202,Common,85.2431,Fringe / Bangs,Chestnut,X Blue,Navy,White,Fair,0202.png,21860563
963,1080,Common,85.2389,Long,Green,Lime,Gold,Butter,Porcelain,1080.png,28813445
964,22,Common,85.2099,Side Part,Brown,Lime,Cocoa,Blush,Light,0022.png,20435143
965,1081,Common,85.2091,Fringe / Bangs,Auburn,Hot Pink,Teal,Sky,Light,1081.png,28821364
966,949,Common,85.1805,Side Part,Chestnut,Gold,Light Grey,Sky,Deep Brown,0949.png,27776056
967,698,Common,85.1455,Fringe / Bangs,Pink,Cyan,Plum,Sage,Porcelain,0698.png,25788387
968,1026,Common,85.1408,Side Part,Red,Hot Pink,Light Grey,Off White,Porcelain,1026.png,28385819
969,207,Common,85.1279,Classic Cut,Sky Blue,Amethyst,Plum,Blush,Medium,0207.png,21900158
970,190,Common,85.1231,Fringe / Bangs,Violet,Aqua,Deep Purple,Ivory,Tan,0190.png,21765535
971,406,Common,85.0975,Buzz Cut,Auburn,Lime,Moss,Cream,Fair,0406.png,23476039
972,909,Common,85.0659,Fringe / Bangs,Violet,Ice Blue,Deep Purple,Sage,Medium,0909.png,27459296
973,109,Common,85.0541,Spiky,Pink,Cyan,Denim Blue,White,Fair,0109.png,21124096
974,1041,Common,85.0044,Spiky,Pine Green,Lime,Brown,Ice Blue,Porcelain,1041.png,28504604
975,788,Common,84.9975,Spiky,Chestnut,X Blue,Navy,Blush,Fair,0788.png,26501097
976,15,Common,84.9941,Side Part,Pine Green,Cyan,Bronze,Mint,Brown,0015.png,20379710
977,221,Common,84.948,Fringe / Bangs,Yellow,Cyan,Deep Purple,Sky,Brown,0221.png,22011024
978,118,Common,84.9299,Buzz Cut,Charcoal,Periwinkle,Cocoa,Rose,Light,0118.png,21195367
979,516,Common,84.8895,Spiky,Coral,Raspberry,Black,White,Deep Brown,0516.png,24347129
980,326,Common,84.8889,Spiky,Auburn,Cyan,Denim Blue,Rose,Deep Brown,0326.png,22842519
981,183,Common,84.8877,Classic Cut,Pink,Royal Blue,Deep Purple,Lavender,Porcelain,0183.png,21710102
982,1074,Common,84.8671,Long,Pine Green,Gold,Light Grey,Blush,Olive,1074.png,28765931
983,1100,Common,84.8575,Fringe / Bangs,Sandy,Cyan,Moss,Off White,Porcelain,1100.png,28971825
984,196,Common,84.8216,Long,Purple,Lime,Plum,Butter,Tan,0196.png,21813049
985,111,Common,84.8122,Long,Chestnut,X Black,Cocoa,Sky,Olive,0111.png,21139934
986,395,Common,84.8031,Classic Cut,Red,Gold,Bronze,Butter,Light,0395.png,23388930
987,622,Common,84.794,Buzz Cut,Chestnut,Ice Blue,Denim Blue,Off White,Tan,0622.png,25186543
988,261,Common,84.7555,Fringe / Bangs,Orange,Raspberry,Cocoa,Blush,Deep Brown,0261.png,22327784
989,63,Common,84.7378,Long,Yellow,Royal Blue,Light Grey,Lavender,Porcelain,0063.png,20759822
990,611,Common,84.6808,Long,Coral,Royal Blue,Steel Grey,Sage,Light,0611.png,25099434
991,959,Common,84.6808,Long,Pink,Royal Blue,Steel Grey,Sage,Light,0959.png,27855246
992,1094,Common,84.6693,Classic Cut,Red,Royal Blue,Moss,White,Tan,1094.png,28924311
993,808,Common,84.6605,Spiky,Sky Blue,Cyan,Plum,Ice Blue,Tan,0808.png,26659477
994,140,Common,84.6577,Buzz Cut,Violet,Turquoise,Gold,Ivory,Tan,0140.png,21369585
995,171,Common,84.6498,Buzz Cut,Yellow,Lime,Midnight Navy,Sage,Light,0171.png,21615074
996,394,Common,84.6453,Fringe / Bangs,Pink,Raspberry,Black,White,Brown,0394.png,23381011
997,804,Common,84.5881,Classic Cut,Auburn,Royal Blue,Moss,Rose,Tan,0804.png,26627801
998,678,Common,84.4922,Fringe / Bangs,Red,Aqua,Cocoa,Mint,Tan,0678.png,25630007
999,295,Common,84.4823,Fringe / Bangs,Yellow,Lime,Teal,Sand,Medium,0295.png,22597030
1000,94,Common,84.4622,Spiky,Yellow,Turquoise,Bronze,Blush,Brown,0094.png,21005311
1001,662,Common,84.4129,Spiky,Red,Cyan,Black,Sky,Olive,0662.png,25503303
1002,329,Common,84.3133,Long,Teal,Lime,Denim Blue,Sand,Medium,0329.png,22866276
1003,1007,Common,84.2858,Long,Coral,Lime,Deep Purple,Cream,Olive,1007.png,28235358
1004,393,Common,84.2103,Spiky,Pine Green,Royal Blue,Light Grey,Sky,Tan,0393.png,23373092
1005,956,Common,84.1986,Classic Cut,Violet,Hot Pink,Forest Green,Blush,Light,0956.png,27831489
1006,609,Common,84.1864,Buzz Cut,Chestnut,Lime,Plum,Sand,Fair,0609.png,25083596
1007,286,Common,84.1677,Buzz Cut,Pine Green,Cyan,Plum,Ivory,Tan,0286.png,22525759
1008,725,Common,84.1609,Buzz Cut,Auburn,Royal Blue,Navy,Rose,Medium,0725.png,26002200
1009,147,Common,84.155,Side Part,Red,Lime,Deep Purple,Cream,Tan,0147.png,21425018
1010,983,Common,84.1378,Spiky,Sky Blue,Periwinkle,Deep Purple,Butter,Deep Brown,0983.png,28045302
1011,6,Common,84.0899,Buzz Cut,Coral,X Blue,Denim Blue,Blush,Tan,0006.png,20308439
1012,523,Common,84.0138,Long,Sky Blue,Emerald,Moss,Ivory,Light,0523.png,24402562
1013,1097,Common,83.9514,Classic Cut,Coral,Periwinkle,Bronze,Butter,Brown,1097.png,28948068
1014,64,Common,83.9393,Fringe / Bangs,Sky Blue,Amethyst,Black,Off White,Olive,0064.png,20767741
1015,820,Common,83.9128,Spiky,Sky Blue,Periwinkle,Teal,Off White,Deep Brown,0820.png,26754505
1016,1084,Common,83.9014,Classic Cut,Coral,Hot Pink,Espresso,Blush,Tan,1084.png,28845121
1017,860,Common,83.8855,Fringe / Bangs,Auburn,Cyan,Espresso,Sage,Deep Brown,0860.png,27071265
1018,775,Common,83.8808,Buzz Cut,Coral,Royal Blue,Navy,Sky,Porcelain,0775.png,26398150
1019,42,Common,83.8771,Classic Cut,Violet,Royal Blue,Navy,Lavender,Fair,0042.png,20593523
1020,321,Common,83.8672,Fringe / Bangs,Auburn,Emerald,Bronze,White,Deep Brown,0321.png,22802924
1021,9,Common,83.7436,Buzz Cut,Magenta,Royal Blue,Cocoa,Off White,Olive,0009.png,20332196
1022,800,Common,83.7167,Buzz Cut,Pink,Periwinkle,Deep Purple,Blush,Light,0800.png,26596125
1023,272,Common,83.7018,Long,Sky Blue,Amethyst,Denim Blue,Ivory,Olive,0272.png,22414893
1024,559,Common,83.6964,Classic Cut,Orange,Gold,Cocoa,Blush,Medium,0559.png,24687646
1025,310,Common,83.6835,Long,Coral,Royal Blue,Denim Blue,Blush,Fair,0310.png,22715815
1026,590,Common,83.682,Classic Cut,Sandy,Cyan,Gold,Blush,Light,0590.png,24933135
1027,764,Common,83.6759,Long,Sky Blue,Hot Pink,Espresso,Off White,Fair,0764.png,26311041
1028,649,Common,83.6686,Long,Violet,Periwinkle,Forest Green,Sage,Tan,0649.png,25400356
1029,912,Common,83.6282,Long,Sky Blue,Gold,Steel Grey,Blush,Brown,0912.png,27483053
1030,102,Common,83.5983,Long,Chestnut,Lime,Deep Purple,Peach,Olive,0102.png,21068663
1031,659,Common,83.5643,Classic Cut,Auburn,Gold,Light Grey,Sky,Porcelain,0659.png,25479546
1032,927,Common,83.5537,Long,Pine Green,Hot Pink,Bronze,Off White,Brown,0927.png,27601838
1033,418,Common,83.5514,Long,Charcoal,Lime,Denim Blue,White,Medium,0418.png,23571067
1034,901,Common,83.5201,Classic Cut,White,Royal Blue,Cocoa,Sage,Medium,0901.png,27395944
1035,361,Common,83.4225,Side Part,Charcoal,Periwinkle,Cocoa,Sky,Tan,0361.png,23119684
1036,1054,Common,83.4221,Long,Coral,Emerald,Cocoa,Lavender,Fair,1054.png,28607551
1037,1021,Common,83.3435,Side Part,Violet,Gold,Navy,Ivory,Fair,1021.png,28346224
1038,1030,Common,83.307,Side Part,Purple,X Blue,Cocoa,Ivory,Porcelain,1030.png,28417495
1039,150,Common,83.2825,Spiky,Teal,Lime,Denim Blue,Mint,Porcelain,0150.png,21448775
1040,793,Common,83.2632,Spiky,Pine Green,Raspberry,Bronze,Ivory,Tan,0793.png,26540692
1041,70,Common,83.244,Fringe / Bangs,Sandy,Lime,Maroon,Ivory,Porcelain,0070.png,20815255
1042,742,Common,83.2367,Buzz Cut,Sky Blue,Raspberry,Navy,Off White,Deep Brown,0742.png,26136823
1043,572,Common,83.2295,Fringe / Bangs,Teal,Lime,Moss,Sage,Medium,0572.png,24790593
1044,798,Common,83.1861,Long,Violet,Ice Blue,Black,Off White,Porcelain,0798.png,26580287
1045,991,Common,83.0296,Long,Auburn,Gold,Light Grey,Sage,Light,0991.png,28108654
1046,468,Common,82.9628,Buzz Cut,Green,Lime,Espresso,Blush,Porcelain,0468.png,23967017
1047,958,Common,82.9389,Long,Violet,Lime,Deep Purple,Cream,Brown,0958.png,27847327
1048,867,Common,82.9287,Side Part,Sky Blue,Hot Pink,Black,Rose,Porcelain,0867.png,27126698
1049,348,Common,82.9141,Fringe / Bangs,Purple,Lime,Light Grey,White,Light,0348.png,23016737
1050,104,Common,82.8881,Buzz Cut,Auburn,Periwinkle,Bronze,Ice Blue,Tan,0104.png,21084501
1051,989,Common,82.8184,Buzz Cut,Auburn,Royal Blue,Bronze,Rose,Porcelain,0989.png,28092816
1052,571,Common,82.7451,Long,Auburn,Hot Pink,Cocoa,Cream,Light,0571.png,24782674
1053,1106,Common,82.6942,Buzz Cut,Violet,Hot Pink,Bronze,Sky,Brown,1106.png,29019339
1054,706,Common,82.6621,Side Part,Yellow,Lime,Forest Green,Butter,Tan,0706.png,25851739
1055,365,Common,82.651,Classic Cut,Violet,Royal Blue,Plum,Ivory,Brown,0365.png,23151360
1056,878,Common,82.5732,Spiky,Green,Periwinkle,Cocoa,Off White,Light,0878.png,27213807
1057,493,Common,82.489,Side Part,Sky Blue,Cyan,Plum,Ivory,Brown,0493.png,24164992
1058,730,Common,82.4146,Buzz Cut,Sky Blue,Hot Pink,Navy,Off White,Medium,0730.png,26041795
1059,582,Common,82.4103,Spiky,Coral,X Blue,Cocoa,Butter,Light,0582.png,24869783
1060,84,Common,82.371,Long,Auburn,Gold,Bronze,Sky,Porcelain,0084.png,20926121
1061,91,Common,82.3677,Side Part,Violet,Lime,Slate Grey,Off White,Brown,0091.png,20981554
1062,236,Common,82.3029,Side Part,Pine Green,Lime,Deep Purple,Rose,Brown,0236.png,22129809
1063,290,Common,82.266,Spiky,Pink,Turquoise,Cocoa,Sky,Deep Brown,0290.png,22557435
1064,715,Common,82.2642,Classic Cut,Auburn,Raspberry,Bronze,Ivory,Fair,0715.png,25923010
1065,859,Common,82.2409,Side Part,Sky Blue,Gold,Navy,Sky,Tan,0859.png,27063346
1066,1032,Common,82.2185,Spiky,Sky Blue,Emerald,Bronze,White,Tan,1032.png,28433333
